team,play count,heavy count,standard count,nickel count,dime count,quarter count,heavy percent,standard percent,nickel percent,dime percent,quarter percent,overall epa,heavy epa,standard epa,nickel epa,dime epa,quarter epa,overall epa rate,heavy epa rate,standard epa rate,nickel epa rate,dime epa rate,quarter epa rate
DAL,546,0,117,404,25,0,0.0,21.4,74.0,4.6,0.0,87.88392200000014,0.0,24.58056,73.59798900000004,-10.294627,0.0,0.16095956410256437,0.0,0.20314512396694215,0.608247842975207,-0.08507956198347108,0.0
NYG,569,5,46,377,123,16,0.9,8.1,66.3,21.6,2.8,93.46064399999995,4.762059,17.577484,55.157956000000006,14.711759000000002,1.248635,0.16425420738137073,0.03935585950413223,0.14526846280991734,0.4558508760330579,0.12158478512396696,0.010319297520661156
MIA,521,3,163,352,1,0,0.6,31.3,67.6,0.2,0.0,94.39169200000002,1.112304,32.742047,58.07220999999997,2.463371,0.0,0.1811740729366603,0.009192595041322313,0.27059542975206613,0.4799356198347105,0.020358438016528927,0.0
CAR,540,5,152,382,0,0,0.9,28.1,70.7,0.0,0.0,94.58603799999997,0.14831400000000006,54.76255500000005,39.71390899999997,0.0,0.0,0.17515932962962957,0.0012257355371900831,0.4525830991735541,0.32821412396694194,0.0,0.0
KC,609,8,81,377,138,3,1.3,13.3,61.9,22.7,0.5,101.21441800000005,1.9914260000000001,26.255850999999996,62.11921300000002,7.636755999999997,3.2110589999999997,0.16619773070607563,0.01645806611570248,0.21699050413223137,0.5133819256198349,0.0631136859504132,0.02653767768595041
ATL,599,5,85,469,36,4,0.8,14.2,78.3,6.0,0.7,112.49644599999992,-1.3626709999999997,2.7700930000000006,88.35721099999994,23.946948000000003,-1.215135,0.18780708848080122,-0.011261743801652891,0.0228933305785124,0.7302248842975201,0.19790866115702482,-0.010042438016528927
OAK,488,3,77,372,35,0,0.6,15.8,76.2,7.2,0.0,112.98780400000007,0.7349710000000002,32.55065,81.46491100000016,-1.7652150000000013,0.0,0.23153238524590178,0.00607414049586777,0.26901363636363634,0.6732637272727285,-0.014588553719008275,0.0
DET,509,6,28,296,99,78,1.2,5.5,58.2,19.4,15.3,125.23990200000014,8.331757,19.518459000000004,76.95486899999996,31.247845000000005,-10.789476,0.24605088801571737,0.0688574958677686,0.16130957851239672,0.6359906528925616,0.25824665289256205,-0.08916922314049587
CIN,590,7,132,399,45,6,1.2,22.4,67.6,7.6,1.0,131.107275,7.0016039999999995,17.944106,116.12168599999998,2.8026370000000007,-12.763109000000002,0.22221572033898304,0.05786449586776859,0.14829839669421488,0.9596833553719006,0.023162289256198353,-0.10548023966942151
TB,544,4,126,304,110,0,0.7,23.2,55.9,20.2,0.0,134.76163199999988,-0.6622590000000002,43.473031,80.12995699999999,11.820903,0.0,0.2477235882352939,-0.005473214876033059,0.3592812479338843,0.6622310495867768,0.09769341322314049,0.0
GB,541,1,59,199,256,25,0.2,10.9,36.8,47.3,4.6,135.524545,3.658389,13.651321,72.81090200000003,51.082333000000006,-5.683334,0.25050747689463954,0.030234619834710746,0.11282083471074379,0.6017429917355375,0.4221680413223141,-0.04696970247933885
NO,593,6,71,495,16,4,1.0,12.0,83.5,2.7,0.7,138.27146100000004,14.660218,16.115444000000007,103.47525700000006,6.791759,-2.7709289999999998,0.23317278414839807,0.121158826446281,0.13318548760330584,0.8551674132231409,0.05613023966942149,-0.022900239669421486
SF,520,0,99,401,20,0,0.0,19.0,77.1,3.8,0.0,139.59634000000003,0.0,36.426009,106.49266699999995,-3.322336,0.0,0.26845450000000004,0.0,0.30104139669421487,0.8801046859504128,-0.027457322314049588,0.0
