team,play count,cover 0 count,cover 1 count,cover 2 count,cover 3 count,cover 4 count,cover 6 count,cover 0 percent,cover 1 percent,cover 2 percent,cover 3 percent,cover 4 percent,cover 6 percent,overall epa,cover 0 epa,cover 1 epa,cover 2 epa,cover 3 epa,cover 4 epa,cover 6 epa,overall epa rate,cover 0 epa rate,cover 1 epa rate,cover 2 epa rate,cover 3 epa rate,cover 4 epa rate,cover 6 epa rate
PHI,633,226,131,19,155,88,14,35.7,20.7,3.0,24.5,13.9,2.2,83.40418399999996,33.09141799999999,48.382611000000004,0.3728360000000003,9.570499999999996,-17.008229,8.995047999999999,0.13176016429699836,0.2734827933884297,0.39985628925619837,0.0030812892561983495,0.07909504132231401,-0.14056387603305784,0.07433923966942148
ARI,507,46,143,52,110,114,42,9.1,28.2,10.3,21.7,22.5,8.3,84.02839099999998,14.642234000000004,18.104891000000006,12.839861,12.105793000000004,14.168609999999994,12.167002,0.16573647140039444,0.12101019834710747,0.14962719834710747,0.10611455371900827,0.10004787603305788,0.11709595041322308,0.10055373553719009
SEA,513,20,237,83,63,69,41,3.9,46.2,16.2,12.3,13.5,8.0,84.08548599999999,-10.820509999999997,50.50665300000002,16.990850000000002,19.299851999999998,-0.6027479999999982,8.711388999999997,0.16390932943469783,-0.08942570247933881,0.417410355371901,0.1404202479338843,0.15950290909090908,-0.0049813884297520514,0.07199495041322311
NYJ,590,121,207,58,98,74,32,20.5,35.1,9.8,16.6,12.5,5.4,86.59743799999993,32.177161,27.98884699999999,-0.9174159999999985,13.588286999999998,11.060837,2.699722,0.14677531864406768,0.2659269504132231,0.23131278512396686,-0.007581950413223128,0.11229989256198344,0.09141187603305785,0.0223117520661157
DAL,546,24,297,76,50,55,44,4.4,54.4,13.9,9.2,10.1,8.1,87.88392200000014,-11.424873,64.87714000000004,12.811538999999996,13.441541999999998,-0.49892900000000195,8.677503000000003,0.16095956410256437,-0.09442043801652893,0.536174710743802,0.10588048760330575,0.11108712396694213,-0.004123380165289272,0.07171490082644631
NYG,569,38,248,70,87,74,52,6.7,43.6,12.3,15.3,13.0,9.1,93.46064399999995,7.214772999999999,29.807671999999997,13.385208000000004,12.766438000000004,-0.3208169999999937,30.607369999999996,0.16425420738137073,0.059626223140495864,0.24634439669421485,0.1106215537190083,0.10550775206611573,-0.0026513801652892043,0.25295347107438015
MIA,521,44,201,90,82,68,36,8.4,38.6,17.3,15.7,13.1,6.9,94.39169200000002,-3.355531999999999,74.47326199999998,4.293608999999998,0.6518730000000015,6.928201,11.400278999999998,0.1811740729366603,-0.027731669421487595,0.6154815041322312,0.035484371900826435,0.005387380165289268,0.05725785950413223,0.0942171818181818
CAR,540,56,138,55,158,113,20,10.4,25.6,10.2,29.3,20.9,3.7,94.58603799999997,42.37245600000001,11.736767000000004,11.742607000000001,15.241791999999998,5.334271999999997,8.158143999999998,0.17515932962962957,0.35018558677685957,0.09699807438016532,0.09704633884297521,0.12596522314049585,0.044084892561983446,0.0674226776859504
KC,609,56,282,95,65,74,37,9.2,46.3,15.6,10.7,12.2,6.1,101.21441800000005,10.439116000000002,70.105519,23.94956399999999,-16.294675999999995,15.598248000000003,-2.583353,0.16619773070607563,0.08627368595041324,0.5793844545454545,0.19793028099173546,-0.13466674380165286,0.1289111404958678,-0.021350024793388427
ATL,599,21,300,82,63,77,56,3.5,50.1,13.7,10.5,12.9,9.3,112.49644599999992,4.860373000000003,75.91361199999994,13.669031999999996,16.606904000000004,-5.481114999999999,6.92764,0.18780708848080122,0.04016837190082647,0.6273852231404954,0.11296720661157021,0.1372471404958678,-0.045298471074380155,0.05725322314049587
OAK,488,44,164,109,54,63,54,9.0,33.6,22.3,11.1,12.9,11.1,112.98780400000007,20.734796,26.216279000000007,26.905330000000006,25.053400999999997,-11.76828,25.846277999999995,0.23153238524590178,0.17136195041322314,0.2166634628099174,0.22235809917355376,0.20705290082644626,-0.09725851239669422,0.21360560330578507
DET,509,81,206,59,56,79,28,15.9,40.5,11.6,11.0,15.5,5.5,125.23990200000014,23.866313000000005,87.08523199999999,21.352931,-12.642534000000001,5.477952000000004,0.1000079999999994,0.24605088801571737,0.19724225619834715,0.7197126611570247,0.17647050413223142,-0.10448375206611571,0.045272330578512425,0.00082651239669421
CIN,590,28,231,111,54,102,64,4.7,39.2,18.8,9.2,17.3,10.8,131.107275,15.337497000000003,68.76833300000001,-11.921501999999995,7.865688999999998,23.976374999999994,27.080883000000007,0.22221572033898304,0.12675617355371904,0.5683333305785125,-0.09852480991735534,0.06500569421487602,0.19815185950413217,0.2238089504132232
TB,544,101,220,27,121,49,26,18.6,40.4,5.0,22.2,9.0,4.8,134.76163199999988,34.921341999999996,66.20348400000002,7.252817,3.456717000000002,7.350340000000001,15.576932000000001,0.2477235882352939,0.2886061322314049,0.5471362314049588,0.05994063636363636,0.02856790909090911,0.060746611570247945,0.1287349752066116
GB,541,147,187,30,83,71,23,27.2,34.6,5.5,15.3,13.1,4.3,135.524545,37.74988899999999,47.12666200000001,2.129197000000004,29.612386999999995,17.239294999999995,1.6671149999999992,0.25050747689463954,0.3119825537190082,0.3894765454545455,0.017596669421487635,0.24473047107438012,0.14247351239669417,0.013777809917355366
NO,593,59,215,102,97,88,32,9.9,36.3,17.2,16.4,14.8,5.4,138.27146100000004,24.149274000000005,77.21547600000005,-7.331579,0.4035209999999976,14.390369000000003,29.444399999999995,0.23317278414839807,0.19958077685950418,0.6381444297520665,-0.06059156198347107,0.003334884297520641,0.11892866942148764,0.24334214876033053
SF,520,78,248,71,67,32,24,15.0,47.7,13.7,12.9,6.2,4.6,139.59634000000003,19.078724999999995,75.69024699999999,27.646243000000005,7.952717000000002,1.6908670000000006,7.537541,0.26845450000000004,0.15767541322314046,0.6255392314049586,0.22848134710743806,0.06572493388429754,0.013974107438016534,0.06229372727272727
