,db nflId,db name,rc nflId,rc name,play epa,expected epa,epa delta
3059,2558183,John Johnson,71265,Jared Cook,-5.148252,0.22699999999999998,-5.375252000000001
970,2539338,B.W. Webb,2539964,Marquise Goodwin,-5.106916,0.23600000000000002,-5.342916
1135,2552484,P.J. Williams,2495454,Julio Jones,-5.089221,0.402,-5.491221
1910,2560839,Darius Phillips,2553895,Adam Humphries,-5.084125,0.276,-5.360125
1837,2556367,William Jackson,71269,Michael Crabtree,-5.080592,-0.079,-5.0015920000000005
432,2555539,Xavien Howard,2555317,Tajae Sharpe,-5.062082,0.146,-5.208082
4331,2532861,Casey Hayward,2560781,Christian Kirk,-5.053627,0.127,-5.180626999999999
2396,2556445,Brian Poole,2558066,Curtis Samuel,-4.992636,0.052000000000000005,-5.044636
2151,2557867,Tre'Davious White,2543495,Davante Adams,-4.976066,0.389,-5.365066000000001
2211,2507817,Rafael Bush,2532887,Jermaine Kearse,-4.938302,-0.17800000000000002,-4.760302
703,2508107,Jimmy Smith,2560988,Antonio Callaway,-4.803501,-0.061,-4.742501
3072,1302,Aqib Talib,2540154,Keenan Allen,-4.706157,0.257,-4.963157
3463,2555531,Anthony Brown,2540165,DeAndre Hopkins,-4.697033,0.429,-5.1260330000000005
4143,2560728,Tre Flowers,2560735,Michael Gallup,-4.69238,0.11599999999999999,-4.80838
2006,2532877,Trumaine Johnson,2558052,Kenny Golladay,-4.690678,0.47200000000000003,-5.1626780000000005
461,2559053,Torry McTyer,2540145,Cordarrelle Patterson,-4.614391,0.21100000000000002,-4.825391000000001
2032,2495343,Buster Skrine,2557895,Dede Westbrook,-4.597031,0.183,-4.780031
2569,2553796,Quinton Dunbar,2532865,T.Y. Hilton,-4.57958,0.546,-5.12558
1344,80668,Captain Munnerlyn,2550256,Willie Snead,-4.575695,0.061,-4.636695
2399,2539653,Robert Alford,2560813,D.J. Moore,-4.524306,0.045,-4.569306
905,2556512,Donte' Deayon,2560951,Jordan Akins,-4.436313,0.33299999999999996,-4.769313
597,2558067,Marlon Humphrey,2508061,Antonio Brown,-4.431548,0.114,-4.545548
996,2539338,B.W. Webb,2550617,Taylor Gabriel,-4.385025,0.26,-4.6450249999999995
2405,2560830,Isaiah Oliver,2552458,Devin Funchess,-4.34621,0.001,-4.3472100000000005
2043,2533059,Morris Claiborne,2560888,Courtland Sutton,-4.329302,0.162,-4.491302
3319,2541162,A.J. Bouye,2555478,Demarcus Robinson,-4.29049,0.33799999999999997,-4.62849
1701,2541200,Rashaan Melvin,2557859,Jake Butt,-4.282279,-1.385,-2.897279
360,2558976,Kenny Moore II,2543828,Quincy Enunwa,-4.2778,-0.051,-4.2268
369,2543811,Pierre Desir,2557863,Zay Jones,-4.2467,-0.109,-4.1377
321,2557961,Quincy Wilson,2495450,A.J. Green,-4.244175,0.39299999999999996,-4.637175
874,89756,Jason McCourty,2558129,Isaiah McKenzie,-4.238884,-0.172,-4.066884
208,2560964,Genard Avery,2550656,Cameron Brate,-4.140527,0.025,-4.165527
3629,2543681,Kyle Fuller,2531332,Terrelle Pryor,-4.139556,0.0,-4.139556
4286,2559164,Michael Davis,2543572,Martavis Bryant,-4.132485,-0.146,-3.986485
736,2533062,Stephon Gilmore,2561018,D.J. Chark,-4.11562,-0.498,-3.6176199999999996
3247,2530510,Chris Harris,2553913,Tyrell Williams,-4.100918,0.486,-4.586918
2412,2539334,Desmond Trufant,2543468,Mike Evans,-4.08562,0.39799999999999996,-4.483619999999999
382,2557961,Quincy Wilson,2558207,Jonnu Smith,-4.064416,-0.042,-4.022416
3635,2553500,Bryce Callahan,2532884,Marvin Jones,-4.064122,0.342,-4.406122
2597,2553796,Quinton Dunbar,2560813,D.J. Moore,-4.063279,0.045,-4.108279
1767,2558062,Gareon Conley,71269,Michael Crabtree,-4.005977,-0.079,-3.9269769999999995
3108,2553536,Troy Hill,2558202,Trent Taylor,-3.927366,-0.109,-3.818366
839,89756,Jason McCourty,2532887,Jermaine Kearse,-3.927103,-0.17800000000000002,-3.749103
370,2557961,Quincy Wilson,2495453,Andre Holmes,-3.920586,-0.013999999999999999,-3.9065860000000003
2794,2555158,Kevin Byard,2557858,Evan Engram,-3.920241,0.22,-4.140241
264,2560916,Denzel Ward,2560890,Auden Tate,-3.858241,-0.649,-3.209241
4071,2560741,Holton Hill,497320,Andre Roberts,-3.846451,-0.546,-3.300451
302,2550164,T.J. Carrie,2560888,Courtland Sutton,-3.815469,0.162,-3.977469
3846,2555173,Eric Murray,2552399,Jeff Heuerman,-3.805719,-0.294,-3.511719
1788,2558062,Gareon Conley,2508061,Antonio Brown,-3.741881,0.114,-3.8558809999999997
2745,2558065,Adoree' Jackson,2552487,Amari Cooper,-3.715723,0.27899999999999997,-3.994723
877,2533062,Stephon Gilmore,2556462,Robby Anderson,-3.710199,0.013999999999999999,-3.7241989999999996
3513,2557840,Chidobe Awuzie,2556404,Maurice Harris,-3.692273,-0.298,-3.394273
2545,496733,Joe Haden,238498,Julian Edelman,-3.692188,0.13,-3.8221879999999997
869,2533062,Stephon Gilmore,2560729,Robert Foster,-3.684111,0.747,-4.4311110000000005
1519,2560982,Tony Brown,2552608,Stefon Diggs,-3.675726,-0.02,-3.655726
3604,494289,Sherrick McManis,1581,DeSean Jackson,-3.622734,0.207,-3.8297339999999997
46,2555383,Jalen Mills,2543496,Odell Beckham Jr.,-3.601176,0.305,-3.9061760000000003
2335,2539219,Blidi Wreh-Wilson,2495826,Vernon Davis,-3.57866,0.39399999999999996,-3.9726600000000003
2240,2557867,Tre'Davious White,238498,Julian Edelman,-3.550133,0.13,-3.680133
419,2560789,Darius Leonard,2559193,Blake Jarwin,-3.497511,0.34299999999999997,-3.840511
1808,2560819,Nick Nelson,2558985,Tim Patrick,-3.491513,0.247,-3.7385129999999998
809,2533062,Stephon Gilmore,2543471,Kelvin Benjamin,-3.479722,-0.493,-2.9867220000000003
150,2543637,Terrance Mitchell,2556370,Michael Thomas,-3.458905,0.6,-4.058905
381,2558976,Kenny Moore II,2552425,Rashad Greene,-3.455608,-0.12,-3.3356079999999997
1692,2540288,Darius Slay,2560907,Marquez Valdes-Scantling,-3.419275,0.12300000000000001,-3.542275
858,89756,Jason McCourty,2508061,Antonio Brown,-3.390208,0.114,-3.5042079999999998
2987,2550654,K'Waun Williams,2560907,Marquez Valdes-Scantling,-3.371381,0.12300000000000001,-3.494381
559,4365,Brandon Carr,2543471,Kelvin Benjamin,-3.362018,-0.493,-2.869018
696,2558067,Marlon Humphrey,2558105,Chris Godwin,-3.300827,0.28600000000000003,-3.586827
1081,2552484,P.J. Williams,2550256,Willie Snead,-3.280601,0.061,-3.341601
882,2532875,Janoris Jenkins,2543614,Donte Moncrief,-3.270585,0.05,-3.320585
3749,2495872,Johnathan Joseph,2534436,Deonte Thompson,-3.232404,-0.125,-3.107404
3774,2540180,Tyrann Mathieu,2557986,David Njoku,-3.223202,0.002,-3.225202
598,2555378,Tavon Young,2555468,Rashard Higgins,-3.199429,0.489,-3.6884289999999997
2028,2553353,Darryl Roberts,2557895,Dede Westbrook,-3.192161,0.183,-3.375161
2791,2540162,Logan Ryan,2541944,Russell Shepard,-3.178498,0.14300000000000002,-3.321498
1770,2560819,Nick Nelson,2540258,Travis Kelce,-3.164634,0.52,-3.684634
977,2535687,Michael Thomas,2557856,O.J. Howard,-3.140462,0.589,-3.729462
613,2555378,Tavon Young,2543488,Jarvis Landry,-3.132759,-0.036000000000000004,-3.096759
4132,2555177,Mackensie Alexander,2558052,Kenny Golladay,-3.117349,0.47200000000000003,-3.589349
3293,2539237,D.J. Hayden,2555295,Sterling Shepard,-3.080768,0.289,-3.369768
2602,2558136,Fabian Moreau,2532978,Jarius Wright,-3.021561,0.043,-3.0645610000000003
1848,2556367,William Jackson,2543847,John Brown,-3.008109,0.168,-3.1761090000000003
4042,2560746,Mike Hughes,2558194,Josh Reynolds,-2.959671,0.133,-3.092671
659,2558067,Marlon Humphrey,2555331,Cody Core,-2.948326,0.018000000000000002,-2.9663259999999996
2162,2559208,Ryan Lewis,2560907,Marquez Valdes-Scantling,-2.945677,0.12300000000000001,-3.068677
4135,2558259,Shaquill Griffin,2543509,Allen Robinson,-2.942961,0.285,-3.227961
697,4365,Brandon Carr,2558846,Mike Williams,-2.924176,0.408,-3.332176
3868,2555349,Kendall Fuller,2559153,Keelan Cole,-2.870158,-0.053,-2.817158
3470,2555531,Anthony Brown,2540165,DeAndre Hopkins,-2.84911,0.429,-3.27811
2107,2532877,Trumaine Johnson,2557863,Zay Jones,-2.845327,-0.109,-2.736327
584,2558067,Marlon Humphrey,497322,Emmanuel Sanders,-2.844431,0.221,-3.0654310000000002
1112,2552484,P.J. Williams,2558010,John Ross,-2.844214,-0.3,-2.544214
4110,2555177,Mackensie Alexander,2552430,Tyler Lockett,-2.838203,1.097,-3.935203
1843,2543474,Darqueze Dennard,2550256,Willie Snead,-2.823146,0.061,-2.884146
823,2533062,Stephon Gilmore,2560907,Marquez Valdes-Scantling,-2.817542,0.12300000000000001,-2.940542
3871,2552265,Steven Nelson,2537931,Josh Gordon,-2.80311,0.544,-3.3471100000000003
65,2552689,Ronald Darby,2543614,Donte Moncrief,-2.79878,0.05,-2.8487799999999996
3853,2552265,Steven Nelson,2560888,Courtland Sutton,-2.740133,0.162,-2.902133
2760,2540162,Logan Ryan,238498,Julian Edelman,-2.719468,0.13,-2.849468
2052,2533059,Morris Claiborne,2558877,Zach Pascal,-2.708064,-0.07,-2.638064
517,2552434,Bobby McCain,2558129,Isaiah McKenzie,-2.631783,-0.172,-2.459783
4333,2559164,Michael Davis,2506106,Larry Fitzgerald,-2.617067,0.023,-2.640067
267,2557980,Jabrill Peppers,2552559,C.J. Uzomah,-2.55462,0.141,-2.69562
1860,2539233,Shawn Williams,2560894,Ian Thomas,-2.544154,0.196,-2.740154
2587,2557880,Josh Harvey-Clemons,2495448,Randall Cobb,-2.484291,0.084,-2.568291
2355,2556445,Brian Poole,2561224,Keith Kirkwood,-2.446746,0.506,-2.9527460000000003
507,2555539,Xavien Howard,2532865,T.Y. Hilton,-2.439303,0.546,-2.985303
792,2556571,Jonathan Jones,2560810,Anthony Miller,-2.430404,0.299,-2.7294039999999997
1342,80668,Captain Munnerlyn,2550256,Willie Snead,-2.413454,0.061,-2.474454
3477,2552568,Byron Jones,2543614,Donte Moncrief,-2.400917,0.05,-2.450917
1991,2533059,Morris Claiborne,2532884,Marvin Jones,-2.348233,0.342,-2.690233
3101,2556593,Cory Littleton,2553840,Brian Parker,-2.326157,-0.322,-2.0041569999999997
3564,2555531,Anthony Brown,2543590,Cody Latimer,-2.298943,0.45299999999999996,-2.751943
4253,2558259,Shaquill Griffin,2506106,Larry Fitzgerald,-2.29311,0.023,-2.31611
1131,2533542,Josh Robinson,2560854,Calvin Ridley,-2.268445,0.483,-2.751445
3747,2495872,Johnathan Joseph,2556396,Chester Rogers,-2.259896,0.158,-2.417896
2787,2550613,Malcolm Butler,2543614,Donte Moncrief,-2.253411,0.05,-2.3034109999999997
2426,2558849,Cameron Sutton,2537931,Josh Gordon,-2.237486,0.544,-2.781486
1095,2558061,Marshon Lattimore,2555214,Laquon Treadwell,-2.228376,-0.14300000000000002,-2.085376
1036,2558061,Marshon Lattimore,2550223,Freddie Martino,-2.16443,-2.164,-0.0004299999999997084
2491,496733,Joe Haden,2561054,Damion Ratley,-2.110311,-0.087,-2.0233109999999996
3601,2553500,Bryce Callahan,2560781,Christian Kirk,-2.096061,0.127,-2.2230610000000004
3608,2543681,Kyle Fuller,2552409,DeVante Parker,-2.08467,-0.040999999999999995,-2.04367
121,2556587,Cre'von LeBlanc,2561653,KhaDarel Hodge,-2.070071,-0.204,-1.866071
592,4365,Brandon Carr,2557960,Ryan Switzer,-2.045604,0.17,-2.215604
1727,2495617,Leon Hall,2543488,Jarvis Landry,-2.015418,-0.036000000000000004,-1.979418
689,2558248,Chuck Clark,2556214,Tyreek Hill,-1.909892,0.479,-2.388892
330,2543811,Pierre Desir,2557866,Jehu Chesson,-1.78683,0.888,-2.67483
2522,496727,Morgan Burnett,2552399,Jeff Heuerman,-1.786533,-0.294,-1.4925329999999999
2692,2558065,Adoree' Jackson,2557895,Dede Westbrook,-1.786211,0.183,-1.969211
4374,2559164,Michael Davis,2561002,DaeSean Hamilton,-1.7855,0.064,-1.8495000000000001
4168,2560728,Tre Flowers,1032,Jordy Nelson,-1.785282,0.17600000000000002,-1.961282
2170,2557867,Tre'Davious White,2557848,Corey Davis,-1.784238,0.214,-1.998238
2696,2555551,LeShaun Sims,2559153,Keelan Cole,-1.783585,-0.053,-1.730585
593,2558067,Marlon Humphrey,2508061,Antonio Brown,-1.78295,0.114,-1.8969500000000001
647,2555378,Tavon Young,2555466,Tyler Boyd,-1.782788,0.579,-2.3617879999999998
3412,2555280,Jalen Ramsey,2540165,DeAndre Hopkins,-1.782228,0.429,-2.2112279999999997
831,2556571,Jonathan Jones,2532887,Jermaine Kearse,-1.781329,-0.17800000000000002,-1.603329
1133,2558061,Marshon Lattimore,2560854,Calvin Ridley,-1.780575,0.483,-2.263575
985,2539338,B.W. Webb,2540158,Zach Ertz,-1.780426,0.207,-1.9874260000000001
3062,2558183,John Johnson,2559248,Ricky Seals-Jones,-1.77942,-0.486,-1.29342
1521,2560952,Jaire Alexander,2560781,Christian Kirk,-1.779011,0.127,-1.906011
1978,2555547,KeiVarae Russell,2553737,Eli Rogers,-1.777928,0.08800000000000001,-1.865928
3492,2557840,Chidobe Awuzie,2533039,Alshon Jeffery,-1.774986,0.507,-2.281986
3798,2560851,Justin Reid,2560995,Dallas Goedert,-1.774847,0.165,-1.939847
3525,2557840,Chidobe Awuzie,2533039,Alshon Jeffery,-1.774403,0.507,-2.281403
4157,2560728,Tre Flowers,2540169,Robert Woods,-1.773264,0.447,-2.220264
1838,2533060,Dre Kirkpatrick,71269,Michael Crabtree,-1.772964,-0.079,-1.693964
3644,2543681,Kyle Fuller,2558052,Kenny Golladay,-1.772642,0.47200000000000003,-2.2446420000000002
606,2505660,Terrell Suggs,2557986,David Njoku,-1.77083,0.002,-1.77283
1350,2555175,James Bradberry,2543468,Mike Evans,-1.76993,0.39799999999999996,-2.16793
3094,1037374,Sam Shields,2558856,David Moore,-1.769458,0.254,-2.0234579999999998
2757,2558065,Adoree' Jackson,2537931,Josh Gordon,-1.767737,0.544,-2.311737
3730,2495251,Shareece Wright,2558877,Zach Pascal,-1.767696,-0.07,-1.6976959999999999
1948,2539233,Shawn Williams,71265,Jared Cook,-1.766267,0.22699999999999998,-1.993267
630,2555378,Tavon Young,2553499,Damiere Byrd,-1.763315,-0.42700000000000005,-1.336315
1118,2555530,Vonn Bell,2560995,Dallas Goedert,-1.760243,0.165,-1.925243
2542,2532946,Coty Sensabaugh,2537931,Josh Gordon,-1.759007,0.544,-2.303007
3436,2552568,Byron Jones,2495893,Brandon Marshall,-1.758876,-0.168,-1.5908760000000002
1157,2555277,Eli Apple,2558105,Chris Godwin,-1.756687,0.28600000000000003,-2.042687
624,4365,Brandon Carr,2560878,Tre'Quan Smith,-1.754845,0.45899999999999996,-2.213845
4222,2553637,Justin Coleman,2495331,Aldrick Robinson,-1.753788,0.239,-1.992788
2416,2556559,Mike Hilton,2543488,Jarvis Landry,-1.752945,-0.036000000000000004,-1.716945
238,2556475,Briean Boddy-Calhoun,2533040,Mohamed Sanu,-1.752827,0.44,-2.192827
2015,2533059,Morris Claiborne,2560988,Antonio Callaway,-1.752343,-0.061,-1.691343
2788,2550613,Malcolm Butler,2541944,Russell Shepard,-1.752117,0.14300000000000002,-1.895117
3840,2552265,Steven Nelson,2560888,Courtland Sutton,-1.751055,0.162,-1.913055
1800,2541200,Rashaan Melvin,2560888,Courtland Sutton,-1.750908,0.162,-1.9129079999999998
4221,2539243,Bradley McDougald,2495438,Kyle Rudolph,-1.750049,0.20800000000000002,-1.958049
1669,2540288,Darius Slay,2557863,Zay Jones,-1.750034,-0.109,-1.641034
4201,2560728,Tre Flowers,2543495,Davante Adams,-1.749487,0.389,-2.138487
3771,2558094,Zach Cunningham,2552461,Duke Johnson,-1.749312,0.239,-1.988312
4258,2534846,Neiko Thorpe,2558208,Chad Williams,-1.748119,-0.38,-1.368119
2218,2557867,Tre'Davious White,2552409,DeVante Parker,-1.747038,-0.040999999999999995,-1.7060380000000002
175,2560916,Denzel Ward,2550597,Seth Roberts,-1.7462,0.28800000000000003,-2.0342000000000002
891,2555277,Eli Apple,2560735,Michael Gallup,-1.745384,0.11599999999999999,-1.8613840000000001
1400,80668,Captain Munnerlyn,2533040,Mohamed Sanu,-1.745027,0.44,-2.1850270000000003
288,2550164,T.J. Carrie,2552458,Devin Funchess,-1.744962,0.001,-1.7459619999999998
987,2532875,Janoris Jenkins,2543509,Allen Robinson,-1.744589,0.285,-2.029589
1316,2560753,Donte Jackson,2541944,Russell Shepard,-1.744534,0.14300000000000002,-1.887534
1151,2552484,P.J. Williams,2553895,Adam Humphries,-1.74367,0.276,-2.01967
4309,2559164,Michael Davis,2541966,Jaron Brown,-1.743437,0.677,-2.4204369999999997
884,2555277,Eli Apple,2543614,Donte Moncrief,-1.742925,0.05,-1.792925
4062,2555177,Mackensie Alexander,497320,Andre Roberts,-1.741035,-0.546,-1.195035
4325,2532861,Casey Hayward,2560888,Courtland Sutton,-1.741005,0.162,-1.9030049999999998
1765,2541200,Rashaan Melvin,2543847,John Brown,-1.738719,0.168,-1.9067189999999998
3585,2543681,Kyle Fuller,2561046,Will Dissly,-1.738301,0.016,-1.754301
2666,2532920,Josh Norman,2557848,Corey Davis,-1.737742,0.214,-1.9517419999999999
3040,2558157,Ahkello Witherspoon,2558985,Tim Patrick,-1.737299,0.247,-1.984299
4098,2540155,Xavier Rhodes,2543495,Davante Adams,-1.73336,0.389,-2.12236
693,4365,Brandon Carr,2543468,Mike Evans,-1.733247,0.39799999999999996,-2.131247
560,2540164,Tony Jefferson,2559159,Jason Croom,-1.733137,-0.35600000000000004,-1.3771369999999998
134,2556587,Cre'von LeBlanc,2552415,Jamison Crowder,-1.730834,0.1,-1.830834
2890,2556456,Andrew Adams,2540160,Jordan Reed,-1.728681,-0.14,-1.5886809999999998
4067,2540155,Xavier Rhodes,2556462,Robby Anderson,-1.727408,0.013999999999999999,-1.741408
1761,2541200,Rashaan Melvin,2559248,Ricky Seals-Jones,-1.727368,-0.486,-1.241368
2722,2550613,Malcolm Butler,71269,Michael Crabtree,-1.727282,-0.079,-1.648282
465,2560725,Minkah Fitzpatrick,2495450,A.J. Green,-1.726984,0.39299999999999996,-2.119984
3220,2507917,Tramaine Brock,2560781,Christian Kirk,-1.7261,0.127,-1.8531
4315,2560760,Derwin James,71265,Jared Cook,-1.72354,0.22699999999999998,-1.9505400000000002
2964,2558157,Ahkello Witherspoon,2553913,Tyrell Williams,-1.72186,0.486,-2.20786
2576,2558136,Fabian Moreau,2495448,Randall Cobb,-1.720956,0.084,-1.804956
244,2560916,Denzel Ward,2560854,Calvin Ridley,-1.717102,0.483,-2.200102
227,2550164,T.J. Carrie,2540151,Justin Hunter,-1.716894,-0.345,-1.371894
3766,2495251,Shareece Wright,2555343,Josh Doctson,-1.716048,-0.07,-1.646048
3089,1037374,Sam Shields,2552608,Stefon Diggs,-1.715403,-0.02,-1.695403
3472,2560908,Leighton Vander Esch,2553318,James O'Shaughnessy,-1.715309,-0.285,-1.430309
1899,2556367,William Jackson,1581,DeSean Jackson,-1.714684,0.207,-1.9216840000000002
2034,2495343,Buster Skrine,497322,Emmanuel Sanders,-1.714458,0.221,-1.9354580000000001
2140,2557867,Tre'Davious White,2540154,Keenan Allen,-1.708632,0.257,-1.9656319999999998
4170,2534846,Neiko Thorpe,2543572,Martavis Bryant,-1.708356,-0.146,-1.562356
1740,2495617,Leon Hall,2530747,Doug Baldwin,-1.707776,0.40700000000000003,-2.114776
2213,2557867,Tre'Davious White,2543614,Donte Moncrief,-1.707703,0.05,-1.757703
1875,2555528,Nick Vigil,2560994,Mike Gesicki,-1.707292,0.034,-1.741292
1037,2556735,Ken Crawley,2558105,Chris Godwin,-1.706692,0.28600000000000003,-1.9926920000000001
2764,2550613,Malcolm Butler,2543759,Ryan Grant,-1.705199,0.087,-1.7921989999999999
1638,2552262,Quandre Diggs,2558975,Taquan Mizzell,-1.704722,0.436,-2.1407220000000002
4187,2540140,Barkevious Mingo,2553913,Tyrell Williams,-1.703967,0.486,-2.189967
2191,2557867,Tre'Davious White,2537931,Josh Gordon,-1.703326,0.544,-2.247326
4115,2555177,Mackensie Alexander,2649,Danny Amendola,-1.70306,-0.028999999999999998,-1.67406
708,2508107,Jimmy Smith,2560988,Antonio Callaway,-1.702965,-0.061,-1.6419650000000001
2074,2557979,Jamal Adams,2560994,Mike Gesicki,-1.702944,0.034,-1.736944
1693,2541200,Rashaan Melvin,2543498,Brandin Cooks,-1.702529,0.49200000000000005,-2.194529
1757,2560819,Nick Nelson,2539964,Marquise Goodwin,-1.702245,0.23600000000000002,-1.938245
3522,2557920,Jourdan Lewis,497326,Golden Tate,-1.702088,-0.009000000000000001,-1.6930880000000001
698,2555378,Tavon Young,2540154,Keenan Allen,-1.701667,0.257,-1.9586670000000002
3865,2307,Orlando Scandrick,2559153,Keelan Cole,-1.698542,-0.053,-1.645542
3985,2552265,Steven Nelson,2532790,Travis Benjamin,-1.697075,-0.146,-1.551075
187,2543823,E.J. Gaines,2555209,Chris Moore,-1.696394,0.138,-1.834394
508,2560725,Minkah Fitzpatrick,2556396,Chester Rogers,-1.695289,0.158,-1.853289
137,2556475,Briean Boddy-Calhoun,2508061,Antonio Brown,-1.69507,0.114,-1.8090700000000002
1715,2558062,Gareon Conley,2540202,Kenny Stills,-1.694918,0.384,-2.078918
3439,2552568,Byron Jones,2495893,Brandon Marshall,-1.694606,-0.168,-1.5266060000000001
1161,2555530,Vonn Bell,2552622,Chris Manhertz,-1.694564,-0.09,-1.6045639999999999
4240,2558259,Shaquill Griffin,2555478,Demarcus Robinson,-1.694006,0.33799999999999997,-2.032006
2406,2556445,Brian Poole,2558105,Chris Godwin,-1.69328,0.28600000000000003,-1.97928
3198,2550541,Shaquil Barrett,2541187,Demetrius Harris,-1.692969,0.14800000000000002,-1.8409689999999999
3276,2507917,Tramaine Brock,2555468,Rashard Higgins,-1.691455,0.489,-2.180455
3012,2558157,Ahkello Witherspoon,1032,Jordy Nelson,-1.691199,0.17600000000000002,-1.8671989999999998
3805,496735,Kareem Jackson,2543614,Donte Moncrief,-1.690523,0.05,-1.740523
2676,2550613,Malcolm Butler,2649,Danny Amendola,-1.690108,-0.028999999999999998,-1.661108
2606,2557880,Josh Harvey-Clemons,2555224,Ezekiel Elliott,-1.689413,-0.055,-1.6344130000000001
1009,2535687,Michael Thomas,2543466,Eric Ebron,-1.688152,0.29,-1.9781520000000001
3173,2506345,Adam Jones,1032,Jordy Nelson,-1.687381,0.17600000000000002,-1.863381
2821,2555552,Ryan Smith,2558258,Shelton Gibson,-1.687285,-0.025,-1.662285
3438,2552568,Byron Jones,2495893,Brandon Marshall,-1.687239,-0.168,-1.519239
3830,2555349,Kendall Fuller,2558149,JuJu Smith-Schuster,-1.686365,0.332,-2.0183649999999997
3722,496735,Kareem Jackson,2557848,Corey Davis,-1.68528,0.214,-1.8992799999999999
3338,2555280,Jalen Ramsey,2540165,DeAndre Hopkins,-1.685206,0.429,-2.114206
1790,2495153,Marcus Gilchrist,2555466,Tyler Boyd,-1.684874,0.579,-2.263874
3676,2495108,Prince Amukamara,2543496,Odell Beckham Jr.,-1.68347,0.305,-1.98847
3476,2552568,Byron Jones,2543614,Donte Moncrief,-1.683466,0.05,-1.733466
1283,2556371,Brandon Williams,2557034,Marvin Hall,-1.683204,-0.048,-1.6352039999999999
2214,2560914,Levi Wallace,2559153,Keelan Cole,-1.682833,-0.053,-1.629833
2900,2561039,Carlton Davis,2560836,Dante Pettis,-1.681789,0.414,-2.095789
2234,2507817,Rafael Bush,238498,Julian Edelman,-1.681248,0.13,-1.811248
1534,2560952,Jaire Alexander,2495454,Julio Jones,-1.678087,0.402,-2.0800870000000002
168,2560916,Denzel Ward,1032,Jordy Nelson,-1.677471,0.17600000000000002,-1.8534709999999999
1005,2539338,B.W. Webb,2557870,Taywan Taylor,-1.676975,0.019,-1.695975
3163,2556593,Cory Littleton,2553435,David Johnson,-1.67616,-0.223,-1.45316
19,2555383,Jalen Mills,2532865,T.Y. Hilton,-1.673062,0.546,-2.219062
3403,2555280,Jalen Ramsey,2540165,DeAndre Hopkins,-1.67202,0.429,-2.10102
4156,2553637,Justin Coleman,2506106,Larry Fitzgerald,-1.670526,0.023,-1.6935259999999999
447,2555539,Xavien Howard,2552487,Amari Cooper,-1.670186,0.27899999999999997,-1.9491859999999999
2413,2539653,Robert Alford,2558105,Chris Godwin,-1.669277,0.28600000000000003,-1.955277
257,2550164,T.J. Carrie,2558010,John Ross,-1.667563,-0.3,-1.3675629999999999
802,2533062,Stephon Gilmore,2543471,Kelvin Benjamin,-1.667524,-0.493,-1.174524
4128,2560741,Holton Hill,2558052,Kenny Golladay,-1.66701,0.47200000000000003,-2.1390100000000003
43,2557958,Sidney Jones,2555295,Sterling Shepard,-1.666419,0.289,-1.955419
3632,2495108,Prince Amukamara,2543471,Kelvin Benjamin,-1.666125,-0.493,-1.1731250000000002
643,2508107,Jimmy Smith,2560920,James Washington,-1.665615,0.003,-1.668615
