,displayName,position,snaps,zone,zone-deep,zone-over,man,man-over,blitz,games played,Team,zone %,zone-deep %,zone-over %,man %,man-over %,blitz %,zone-total,man-total
496828,Derrick Morgan,OLB,275,17,0,57,2,5,194,13,TEN,6.2,0.0,20.7,0.7,1.8,70.5,74,7
496843,Jason Pierre-Paul,OLB,1,0,0,1,0,0,0,1,TB,0.0,0.0,100.0,0.0,0.0,0.0,1,0
496937,Sean Lee,ILB,108,9,2,80,0,2,15,7,DAL,8.3,1.9,74.1,0.0,1.9,13.9,91,2
496961,Dekoda Watson,OLB,43,1,0,4,1,0,37,4,SF,2.3,0.0,9.3,2.3,0.0,86.0,5,1
1037374,Sam Shields,CB,218,25,35,45,61,52,0,12,LA,11.5,16.1,20.6,28.0,23.9,0.0,105,113
2495101,Sam Acho,OLB,11,0,0,5,1,0,5,2,CHI,0.0,0.0,45.5,9.1,0.0,45.5,5,1
2495108,Prince Amukamara,CB,537,31,129,75,194,108,0,15,CHI,5.8,24.0,14.0,36.1,20.1,0.0,235,302
2495136,Bruce Carter,ILB,41,3,0,33,0,1,4,7,ATL,7.3,0.0,80.5,0.0,2.4,9.8,36,1
2495153,Marcus Gilchrist,FS,437,73,269,50,19,19,7,16,OAK,16.7,61.6,11.4,4.3,4.3,1.6,392,38
2495170,Davon House,CB,18,1,5,3,7,2,0,2,GB,5.6,27.8,16.7,38.9,11.1,0.0,9,9
2495190,Ryan Kerrigan,OLB,434,19,1,77,6,10,321,16,WAS,4.4,0.2,17.7,1.4,2.3,74.0,97,16
2495201,Pernell McPhee,OLB,108,8,0,16,1,2,81,13,WAS,7.4,0.0,14.8,0.9,1.9,75.0,24,3
2495202,Von Miller,OLB,425,31,0,67,2,7,318,15,DEN,7.3,0.0,15.8,0.5,1.6,74.8,98,9
2495229,Kelvin Sheppard,MLB,3,1,0,2,0,0,0,1,DET,33.3,0.0,66.7,0.0,0.0,0.0,3,0
2495251,Shareece Wright,CB,312,67,62,66,84,33,0,12,HOU,21.5,19.9,21.2,26.9,10.6,0.0,195,117
2495252,K.J. Wright,OLB,126,26,3,84,2,8,3,5,SEA,20.6,2.4,66.7,1.6,6.3,2.4,113,10
2495272,Chris Conte,SS,78,8,53,12,2,3,0,3,TB,10.3,67.9,15.4,2.6,3.8,0.0,73,5
2495281,Mason Foster,ILB,531,82,2,350,3,10,84,16,WAS,15.4,0.4,65.9,0.6,1.9,15.8,434,13
2495339,Da'Norris Searcy,SS,34,3,27,1,1,2,0,2,CAR,8.8,79.4,2.9,2.9,5.9,0.0,31,3
2495343,Buster Skrine,CB,370,71,23,86,91,86,13,14,NYJ,19.2,6.2,23.2,24.6,23.2,3.5,180,177
2495504,Patrick Peterson,CB,505,68,147,121,116,50,3,16,ARI,13.5,29.1,24.0,23.0,9.9,0.6,336,166
2495507,Richard Sherman,CB,421,43,93,77,158,50,0,13,SF,10.2,22.1,18.3,37.5,11.9,0.0,213,208
2495613,Corey Graham,FS,406,71,284,13,24,3,11,13,PHI,17.5,70.0,3.2,5.9,0.7,2.7,368,27
2495617,Leon Hall,CB,198,29,10,61,37,51,10,10,OAK,14.6,5.1,30.8,18.7,25.8,5.1,100,88
2495775,Eric Weddle,FS,585,71,428,55,7,0,24,16,BAL,12.1,73.2,9.4,1.2,0.0,4.1,554,7
2495807,Antoine Bethea,FS,504,98,285,52,25,13,31,16,ARI,19.4,56.5,10.3,5.0,2.6,6.2,435,38
2495872,Johnathan Joseph,CB,445,72,143,159,56,15,0,14,HOU,16.2,32.1,35.7,12.6,3.4,0.0,374,71
2499257,Colin Jones,FS,58,14,39,1,3,0,1,7,CAR,24.1,67.2,1.7,5.2,0.0,1.7,54,3
2499278,Malcolm Smith,OLB,162,56,4,65,4,5,28,12,SF,34.6,2.5,40.1,2.5,3.1,17.3,125,9
2505660,Terrell Suggs,OLB,448,45,0,90,6,5,302,16,BAL,10.0,0.0,20.1,1.3,1.1,67.4,135,11
2505708,Mike Adams,FS,515,72,329,35,33,27,19,16,CAR,14.0,63.9,6.8,6.4,5.2,3.7,436,60
2506268,Lorenzo Alexander,OLB,321,33,2,97,2,6,181,16,BUF,10.3,0.6,30.2,0.6,1.9,56.4,132,8
2506345,Adam Jones,CB,62,8,11,17,19,7,0,5,DEN,12.9,17.7,27.4,30.6,11.3,0.0,36,26
2506352,Thomas Davis,OLB,338,58,4,192,9,21,54,12,CAR,17.2,1.2,56.8,2.7,6.2,16.0,254,30
2506353,Derrick Johnson,ILB,90,11,7,57,3,2,10,6,OAK,12.2,7.8,63.3,3.3,2.2,11.1,75,5
2506789,Tramon Williams,CB,540,68,209,148,59,44,12,16,GB,12.6,38.7,27.4,10.9,8.1,2.2,425,103
2506861,Brent Grimes,CB,393,90,150,84,43,26,0,13,TB,22.9,38.2,21.4,10.9,6.6,0.0,324,69
2507167,Reggie Nelson,FS,199,26,127,23,12,3,8,11,OAK,13.1,63.8,11.6,6.0,1.5,4.0,176,15
2507644,Ramon Humber,OLB,1,0,0,1,0,0,0,1,NE,0.0,0.0,100.0,0.0,0.0,0.0,1,0
2507644,Ramon Humber,OLB,33,8,0,20,0,0,5,3,BUF,24.2,0.0,60.6,0.0,0.0,15.2,28,0
2507817,Rafael Bush,SS,233,34,36,94,24,34,11,14,BUF,14.6,15.5,40.3,10.3,14.6,4.7,164,58
2507843,Vincent Rey,OLB,70,14,0,43,3,4,6,8,CIN,20.0,0.0,61.4,4.3,5.7,8.6,57,7
2507917,Tramaine Brock,CB,238,31,62,49,64,32,0,11,DEN,13.0,26.1,20.6,26.9,13.4,0.0,142,96
2507948,Frank Zombo,OLB,11,0,0,3,3,0,5,3,KC,0.0,0.0,27.3,27.3,0.0,45.5,3,3
2508007,Marcus Sherels,CB,15,1,5,7,1,1,0,2,MIN,6.7,33.3,46.7,6.7,6.7,0.0,13,2
2508080,Earl Thomas,FS,90,18,68,3,0,0,1,3,SEA,20.0,75.6,3.3,0.0,0.0,1.1,89,0
2508084,Patrick Robinson,CB,62,10,4,21,18,8,1,3,NO,16.1,6.5,33.9,29.0,12.9,1.6,35,26
2508107,Jimmy Smith,CB,346,39,58,70,105,72,2,12,BAL,11.3,16.8,20.2,30.3,20.8,0.6,167,177
2525323,Andrew Sendejo,SS,135,11,109,12,0,1,2,4,MIN,8.1,80.7,8.9,0.0,0.7,1.5,132,1
2530491,Josh Bynes,ILB,321,38,9,226,1,4,43,11,ARI,11.8,2.8,70.4,0.3,1.2,13.4,273,5
2530510,Chris Harris,CB,366,34,24,108,88,109,3,11,DEN,9.3,6.6,29.5,24.0,29.8,0.8,166,197
2530794,Ron Parker,FS,540,69,354,57,28,21,11,14,KC,12.8,65.6,10.6,5.2,3.9,2.0,480,49
2531080,Ben Jacobs,OLB,2,2,0,0,0,0,0,2,CAR,100.0,0.0,0.0,0.0,0.0,0.0,2,0
2532431,Craig Robertson,OLB,48,7,1,32,1,1,6,7,NO,14.6,2.1,66.7,2.1,2.1,12.5,40,2
2532789,Mark Barron,ILB,250,40,2,166,7,23,12,12,LA,16.0,0.8,66.4,2.8,9.2,4.8,208,30
2532800,Nigel Bradham,OLB,547,218,25,220,19,13,52,15,PHI,39.9,4.6,40.2,3.5,2.4,9.5,463,32
2532804,Zach Brown,ILB,354,68,5,237,1,6,37,16,WAS,19.2,1.4,66.9,0.3,1.7,10.5,310,7
2532828,Lavonte David,OLB,489,167,14,210,25,16,57,14,TB,34.2,2.9,42.9,5.1,3.3,11.7,391,41
2532848,Tashaun Gipson,FS,507,58,312,26,65,33,13,16,JAX,11.4,61.5,5.1,12.8,6.5,2.6,396,98
2532861,Casey Hayward,CB,516,38,74,122,212,68,2,15,LAC,7.4,14.3,23.6,41.1,13.2,0.4,234,280
2532869,George Iloka,FS,72,5,56,6,2,2,1,5,MIN,6.9,77.8,8.3,2.8,2.8,1.4,67,4
2532871,Bruce Irvin,LB,7,0,0,4,0,0,3,4,OAK,0.0,0.0,57.1,0.0,0.0,42.9,4,0
2532871,Bruce Irvin,LB,1,0,0,1,0,0,0,1,ATL,0.0,0.0,100.0,0.0,0.0,0.0,1,0
2532875,Janoris Jenkins,CB,563,64,128,125,159,85,2,16,NYG,11.4,22.7,22.2,28.2,15.1,0.4,317,244
2532877,Trumaine Johnson,CB,349,53,111,60,100,24,1,10,NYJ,15.2,31.8,17.2,28.7,6.9,0.3,224,124
2532878,Leonard Johnson,CB,50,5,2,26,6,7,4,3,ARI,10.0,4.0,52.0,12.0,14.0,8.0,33,13
2532890,Mychal Kendricks,OLB,91,17,1,53,2,9,9,4,SEA,18.7,1.1,58.2,2.2,9.9,9.9,71,11
2532898,Brandon Marshall,ILB,233,47,2,137,3,4,40,10,DEN,20.2,0.9,58.8,1.3,1.7,17.2,186,7
2532920,Josh Norman,CB,543,34,103,110,210,86,0,16,WAS,6.3,19.0,20.3,38.7,15.8,0.0,247,296
2532928,Eddie Pleasant,SS,55,31,6,14,0,0,4,5,GB,56.4,10.9,25.5,0.0,0.0,7.3,51,0
2532946,Coty Sensabaugh,CB,418,62,102,91,107,56,0,15,PIT,14.8,24.4,21.8,25.6,13.4,0.0,255,163
2532948,Harrison Smith,FS,443,72,276,31,28,13,23,15,MIN,16.3,62.3,7.0,6.3,2.9,5.2,379,41
2532961,Danny Trevathan,ILB,580,78,3,361,9,30,99,16,CHI,13.4,0.5,62.2,1.6,5.2,17.1,442,39
2532966,Bobby Wagner,MLB,479,43,9,374,0,11,42,14,SEA,9.0,1.9,78.1,0.0,2.3,8.8,426,11
2532974,Kyle Wilber,OLB,29,3,0,4,0,1,21,3,OAK,10.3,0.0,13.8,0.0,3.4,72.4,7,1
2532986,Tahir Whitehead,OLB,486,90,11,305,10,19,51,16,OAK,18.5,2.3,62.8,2.1,3.9,10.5,406,29
2533008,Demario Davis,ILB,498,92,7,271,14,18,96,16,NO,18.5,1.4,54.4,2.8,3.6,19.3,370,32
2533016,Najee Goode,OLB,36,1,0,30,1,1,3,6,IND,2.8,0.0,83.3,2.8,2.8,8.3,31,2
2533048,Nick Perry,OLB,161,15,1,29,2,1,113,9,GB,9.3,0.6,18.0,1.2,0.6,70.2,45,3
2533049,Whitney Mercilus,OLB,439,52,5,107,6,14,255,16,HOU,11.8,1.1,24.4,1.4,3.2,58.1,164,20
2533056,Luke Kuechly,MLB,508,69,15,344,0,5,75,16,CAR,13.6,3.0,67.7,0.0,1.0,14.8,428,5
2533057,Dont'a Hightower,MLB,432,77,5,183,3,8,156,15,NE,17.8,1.2,42.4,0.7,1.9,36.1,265,11
2533058,Vontaze Burfict,OLB,149,24,2,94,5,10,14,7,CIN,16.1,1.3,63.1,3.4,6.7,9.4,120,15
2533059,Morris Claiborne,CB,528,70,109,99,170,80,0,15,NYJ,13.3,20.6,18.8,32.2,15.2,0.0,278,250
2533060,Dre Kirkpatrick,CB,423,31,81,118,118,75,0,13,CIN,7.3,19.1,27.9,27.9,17.7,0.0,230,193
2533062,Stephon Gilmore,CB,588,50,96,85,244,112,1,16,NE,8.5,16.3,14.5,41.5,19.0,0.2,231,356
2533459,Nate Stupar,ILB,30,7,1,19,0,1,2,6,NYG,23.3,3.3,63.3,0.0,3.3,6.7,27,1
2533538,Chandler Jones,OLB,2,0,0,2,0,0,0,1,ARI,0.0,0.0,100.0,0.0,0.0,0.0,2,0
2533542,Josh Robinson,CB,18,1,0,9,3,4,1,3,NO,5.6,0.0,50.0,16.7,22.2,5.6,10,7
2534567,Korey Toomer,MLB,9,1,0,6,1,0,1,3,GB,11.1,0.0,66.7,11.1,0.0,11.1,7,1
2534741,Keith Tandy,FS,1,0,1,0,0,0,0,1,ATL,0.0,100.0,0.0,0.0,0.0,0.0,1,0
2534830,Tavon Wilson,SS,163,42,33,51,20,11,6,14,DET,25.8,20.2,31.3,12.3,6.7,3.7,126,31
2534832,Rodney McLeod,FS,98,24,60,9,1,0,4,3,PHI,24.5,61.2,9.2,1.0,0.0,4.1,93,1
2534846,Neiko Thorpe,CB,16,1,1,4,4,6,0,3,SEA,6.2,6.2,25.0,25.0,37.5,0.0,6,10
2535609,DeShawn Shead,CB,155,13,11,36,55,40,0,12,DET,8.4,7.1,23.2,35.5,25.8,0.0,60,95
2535613,L.J. Fort,ILB,182,14,1,97,10,7,53,11,PIT,7.7,0.5,53.3,5.5,3.8,29.1,112,17
2535687,Michael Thomas,SS,293,65,107,44,24,32,21,16,NYG,22.2,36.5,15.0,8.2,10.9,7.2,216,56
2535693,Johnson Bademosi,CB,17,3,1,9,0,4,0,4,HOU,17.6,5.9,52.9,0.0,23.5,0.0,13,4
2535867,Julian Stanford,ILB,42,6,0,30,0,0,6,5,BUF,14.3,0.0,71.4,0.0,0.0,14.3,36,0
2536032,Emmanuel Lamur,OLB,42,9,1,17,3,9,3,8,OAK,21.4,2.4,40.5,7.1,21.4,7.1,27,12
2539219,Blidi Wreh-Wilson,CB,23,3,0,10,5,5,0,3,ATL,13.0,0.0,43.5,21.7,21.7,0.0,13,10
2539233,Shawn Williams,SS,497,96,298,58,20,9,16,16,CIN,19.3,60.0,11.7,4.0,1.8,3.2,452,29
2539237,D.J. Hayden,CB,257,40,12,98,47,46,14,10,JAX,15.6,4.7,38.1,18.3,17.9,5.4,150,93
2539240,Micah Hyde,SS,442,69,311,34,8,10,10,15,BUF,15.6,70.4,7.7,1.8,2.3,2.3,414,18
2539243,Bradley McDougald,SS,461,125,198,72,27,28,11,15,SEA,27.1,43.0,15.6,5.9,6.1,2.4,395,55
2539277,Manti Te'o,MLB,64,5,3,41,1,1,13,5,NO,7.8,4.7,64.1,1.6,1.6,20.3,49,2
2539290,Jordan Poyer,FS,505,71,365,32,11,3,23,16,BUF,14.1,72.3,6.3,2.2,0.6,4.6,468,14
2539293,Gerald Hodges,ILB,164,16,5,125,0,5,13,9,ARI,9.8,3.0,76.2,0.0,3.0,7.9,146,5
2539309,T.J. McDonald,SS,470,103,276,41,16,23,11,14,MIA,21.9,58.7,8.7,3.4,4.9,2.3,420,39
2539311,Jamie Collins,OLB,558,303,45,76,23,5,106,16,CLE,54.3,8.1,13.6,4.1,0.9,19.0,424,28
2539320,Kenny Vaccaro,SS,382,65,238,33,13,21,12,13,TEN,17.0,62.3,8.6,3.4,5.5,3.1,336,34
2539334,Desmond Trufant,CB,584,53,156,103,193,77,2,16,ATL,9.1,26.7,17.6,33.0,13.2,0.3,312,270
2539338,B.W. Webb,CB,538,63,97,104,149,112,13,16,NYG,11.7,18.0,19.3,27.7,20.8,2.4,264,261
2539653,Robert Alford,CB,518,37,80,64,266,71,0,15,ATL,7.1,15.4,12.4,51.4,13.7,0.0,181,337
2539932,Jamar Taylor,CB,136,25,43,35,16,16,1,9,ARI,18.4,31.6,25.7,11.8,11.8,0.7,103,32
2539932,Jamar Taylor,CB,5,0,0,3,0,2,0,2,DEN,0.0,0.0,60.0,0.0,40.0,0.0,3,2
2539935,Kiko Alonso,OLB,491,78,27,319,8,12,47,15,MIA,15.9,5.5,65.0,1.6,2.4,9.6,424,20
2539937,Shamarko Thomas,SS,10,1,9,0,0,0,0,2,DEN,10.0,90.0,0.0,0.0,0.0,0.0,10,0
2539943,D.J. Swearinger,FS,515,88,285,85,16,21,20,15,WAS,17.1,55.3,16.5,3.1,4.1,3.9,458,37
2539978,Jon Bostic,ILB,249,33,4,136,0,23,53,15,PIT,13.3,1.6,54.6,0.0,9.2,21.3,173,23
2539982,A.J. Klein,OLB,352,58,23,201,7,10,53,16,NO,16.5,6.5,57.1,2.0,2.8,15.1,282,17
2540013,Will Compton,ILB,34,9,1,19,0,0,5,5,TEN,26.5,2.9,55.9,0.0,0.0,14.7,29,0
2540140,Barkevious Mingo,OLB,234,58,6,94,6,23,47,15,SEA,24.8,2.6,40.2,2.6,9.8,20.1,158,29
2540143,Alec Ogletree,LB,440,45,8,297,3,10,77,13,NYG,10.2,1.8,67.5,0.7,2.3,17.5,350,13
2540152,Eric Reid,SS,397,58,274,25,18,9,13,13,CAR,14.6,69.0,6.3,4.5,2.3,3.3,357,27
2540155,Xavier Rhodes,CB,342,22,35,80,113,91,1,13,MIN,6.4,10.2,23.4,33.0,26.6,0.3,137,204
2540159,Kevin Minter,MLB,8,2,1,5,0,0,0,4,TB,25.0,12.5,62.5,0.0,0.0,0.0,8,0
2540162,Logan Ryan,CB,458,66,46,124,97,106,19,14,TEN,14.4,10.0,27.1,21.2,23.1,4.1,236,203
2540164,Tony Jefferson,SS,461,89,263,48,29,20,12,14,BAL,19.3,57.0,10.4,6.3,4.3,2.6,400,49
2540170,David Amerson,CB,138,16,46,40,20,14,2,6,ARI,11.6,33.3,29.0,14.5,10.1,1.4,102,34
2540180,Tyrann Mathieu,FS,584,104,266,120,35,35,24,16,HOU,17.8,45.5,20.5,6.0,6.0,4.1,490,70
2540197,Nickell Robey-Coleman,CB,340,105,26,124,42,41,2,16,LA,30.9,7.6,36.5,12.4,12.1,0.6,255,83
2540219,J.J. Wilcox,FS,29,1,3,15,1,4,5,2,IND,3.4,10.3,51.7,3.4,13.8,17.2,19,5
2540219,J.J. Wilcox,FS,18,2,4,7,0,0,5,5,NYJ,11.1,22.2,38.9,0.0,0.0,27.8,13,0
2540221,Vince Williams,ILB,388,50,5,190,17,16,110,14,PIT,12.9,1.3,49.0,4.4,4.1,28.4,245,33
2540287,Rontez Miles,FS,47,6,39,2,0,0,0,4,NYJ,12.8,83.0,4.3,0.0,0.0,0.0,47,0
2540288,Darius Slay,CB,458,35,106,90,156,67,4,15,DET,7.6,23.1,19.7,34.1,14.6,0.9,231,223
2540291,Kayvon Webster,CB,6,0,1,1,3,1,0,2,HOU,0.0,16.7,16.7,50.0,16.7,0.0,2,4
2541135,Cody Davis,FS,3,1,2,0,0,0,0,1,JAX,33.3,66.7,0.0,0.0,0.0,0.0,3,0
2541162,A.J. Bouye,CB,418,38,89,93,156,42,0,13,JAX,9.1,21.3,22.2,37.3,10.0,0.0,220,198
2541192,Chris Banjo,SS,35,3,22,8,0,0,2,7,NO,8.6,62.9,22.9,0.0,0.0,5.7,33,0
2541200,Rashaan Melvin,CB,314,35,45,74,80,77,3,14,OAK,11.1,14.3,23.6,25.5,24.5,1.0,154,157
2541202,Marcus Cooper,CB,22,2,8,4,5,3,0,3,DET,9.1,36.4,18.2,22.7,13.6,0.0,14,8
2541202,Marcus Cooper,CB,3,0,0,0,1,2,0,1,CHI,0.0,0.0,0.0,33.3,66.7,0.0,0,3
2541243,Duron Harmon,FS,393,38,330,11,3,0,11,16,NE,9.7,84.0,2.8,0.8,0.0,2.8,379,3
2541431,Kemal Ishmael,FS,23,1,4,18,0,0,0,8,ATL,4.3,17.4,78.3,0.0,0.0,0.0,23,0
2541539,Daren Bates,ILB,29,3,1,18,2,0,5,7,TEN,10.3,3.4,62.1,6.9,0.0,17.2,22,2
2541696,Jordan Dangerfield,S,29,2,26,1,0,0,0,4,PIT,6.9,89.7,3.4,0.0,0.0,0.0,29,0
2541741,LaRoy Reynolds,MLB,4,3,0,0,0,0,1,4,PHI,75.0,0.0,0.0,0.0,0.0,25.0,3,0
2541756,Brynden Trawick,FS,1,1,0,0,0,0,0,1,TEN,100.0,0.0,0.0,0.0,0.0,0.0,1,0
2541792,Ray-Ray Armstrong,OLB,7,7,0,0,0,0,0,1,CLE,100.0,0.0,0.0,0.0,0.0,0.0,7,0
2541792,Ray-Ray Armstrong,OLB,112,23,2,75,4,1,7,6,NYG,20.5,1.8,67.0,3.6,0.9,6.2,100,5
2541832,Jeff Heath,SS,532,92,306,74,30,25,5,16,DAL,17.3,57.5,13.9,5.6,4.7,0.9,472,55
2541848,Deon Lacey,OLB,9,2,0,6,0,1,0,1,BUF,22.2,0.0,66.7,0.0,11.1,0.0,8,1
2541864,Josh Martin,OLB,9,2,0,2,0,1,4,1,NYJ,22.2,0.0,22.2,0.0,11.1,44.4,4,1
2541958,Jahleel Addae,SS,520,36,455,21,2,0,6,15,LAC,6.9,87.5,4.0,0.4,0.0,1.2,512,2
2543459,Anthony Barr,OLB,337,48,1,216,3,7,62,12,MIN,14.2,0.3,64.1,0.9,2.1,18.4,265,10
2543464,C.J. Mosley,ILB,507,56,11,300,1,2,137,15,BAL,11.0,2.2,59.2,0.2,0.4,27.0,367,3
2543470,Ha Ha Clinton-Dix,FS,230,32,163,26,2,0,7,7,GB,13.9,70.9,11.3,0.9,0.0,3.0,221,2
2543470,Ha Ha Clinton-Dix,FS,269,38,206,17,1,3,4,9,WAS,14.1,76.6,6.3,0.4,1.1,1.5,261,4
2543474,Darqueze Dennard,CB,378,46,12,134,85,95,6,13,CIN,12.2,3.2,35.4,22.5,25.1,1.6,192,180
2543487,Dominique Easley,OLB,32,0,0,3,0,0,29,3,LA,0.0,0.0,9.4,0.0,0.0,90.6,3,0
2543492,Lamarcus Joyner,FS,478,47,376,45,3,2,5,15,LA,9.8,78.7,9.4,0.6,0.4,1.0,468,5
2543501,Aaron Colvin,CB,204,42,33,62,32,31,4,8,HOU,20.6,16.2,30.4,15.7,15.2,2.0,137,63
2543505,Bradley Roby,CB,477,61,114,90,125,85,2,14,DEN,12.8,23.9,18.9,26.2,17.8,0.4,265,210
2543563,Kevin Pierre-Louis,ILB,27,11,1,5,1,2,7,5,NYJ,40.7,3.7,18.5,3.7,7.4,25.9,17,3
2543571,Bashaud Breeland,CB,176,44,33,25,61,6,7,7,GB,25.0,18.8,14.2,34.7,3.4,4.0,102,67
2543592,Anthony Hitchens,MLB,455,81,9,289,11,6,59,14,KC,17.8,2.0,63.5,2.4,1.3,13.0,379,17
2543597,Avery Williamson,ILB,582,126,25,315,9,7,100,16,NYJ,21.6,4.3,54.1,1.5,1.2,17.2,466,16
2543608,Dexter McDougle,CB,76,29,8,0,35,1,3,2,PHI,38.2,10.5,0.0,46.1,1.3,3.9,37,36
2543637,Terrance Mitchell,CB,244,64,85,22,66,6,1,8,CLE,26.2,34.8,9.0,27.0,2.5,0.4,171,72
2543643,Nat Berhe,SS,25,0,1,14,2,7,1,2,PIT,0.0,4.0,56.0,8.0,28.0,4.0,15,9
2543650,Aaron Lynch,OLB,5,2,0,2,0,1,0,3,CHI,40.0,0.0,40.0,0.0,20.0,0.0,4,1
2543680,Antone Exum,FS,303,59,205,15,16,1,7,12,SF,19.5,67.7,5.0,5.3,0.3,2.3,279,17
2543681,Kyle Fuller,CB,593,55,145,146,151,95,1,16,CHI,9.3,24.5,24.6,25.5,16.0,0.2,346,246
2543699,Kyle Van Noy,OLB,553,91,6,207,6,17,226,16,NE,16.5,1.1,37.4,1.1,3.1,40.9,304,23
2543711,Telvin Smith,OLB,510,153,9,291,8,9,40,16,JAX,30.0,1.8,57.1,1.6,1.8,7.8,453,17
2543712,Terrence Brooks,SS,44,5,36,2,0,0,1,3,NYJ,11.4,81.8,4.5,0.0,0.0,2.3,43,0
2543717,Jeremiah Attaochu,OLB,1,1,0,0,0,0,0,1,NYJ,100.0,0.0,0.0,0.0,0.0,0.0,1,0
2543720,Christian Kirksey,OLB,259,124,15,28,31,12,49,7,CLE,47.9,5.8,10.8,12.0,4.6,18.9,167,43
2543724,Walt Aikens,CB,20,1,11,3,2,3,0,7,MIA,5.0,55.0,15.0,10.0,15.0,0.0,15,5
2543738,Kareem Martin,OLB,300,28,1,64,5,6,196,16,NYG,9.3,0.3,21.3,1.7,2.0,65.3,93,11
2543739,Dontae Johnson,CB,5,0,0,1,3,0,1,1,BUF,0.0,0.0,20.0,60.0,0.0,20.0,1,3
2543741,Jimmie Ward,FS,220,32,93,10,62,22,1,8,SF,14.5,42.3,4.5,28.2,10.0,0.5,135,84
2543769,Deone Bucannon,ILB,150,22,4,95,1,1,27,10,ARI,14.7,2.7,63.3,0.7,0.7,18.0,121,2
2543811,Pierre Desir,CB,485,44,77,130,150,84,0,15,IND,9.1,15.9,26.8,30.9,17.3,0.0,251,234
2543814,Preston Brown,MLB,179,18,4,133,2,7,15,7,CIN,10.1,2.2,74.3,1.1,3.9,8.4,155,9
2543823,E.J. Gaines,CB,109,40,27,5,33,2,2,4,CLE,36.7,24.8,4.6,30.3,1.8,1.8,72,35
